,career_DivWin,career_WCWin,career_LgWin,career_WSWin,career_team_wins,career_team_games,G,G_batting,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,G_old,post_G,post_AB,post_R,post_H,post_2B,post_3B,post_HR,post_RBI,post_SB,post_CS,post_BB,post_SO,post_IBB,post_HBP,post_SH,post_SF,post_GIDP,W,L,pitching_G,GS,CG,SHO,SV,IPouts,pitching_H,ER,pitching_HR,pitching_BB,pitching_SO,BAOpp,ERA,pitching_IBB,WP,pitching_HBP,BK,BFP,GF,pitching_R,pitching_SH,pitching_SF,pitching_GIDP,post_W,post_L,pitching_post_G,post_GS,post_CG,post_SHO,post_SV,post_IPouts,pitching_post_H,post_ER,pitching_post_HR,pitching_post_BB,pitching_post_SO,post_BAOpp,post_ERA,pitching_post_IBB,post_WP,pitching_post_HBP,post_BK,post_BFP,post_GF,pitching_post_R,pitching_post_SH,pitching_post_SF,pitching_post_GIDP,fielding_G,fielding_GS,InnOuts,PO,A,E,DP,PB,fielding_WP,fielding_SB,fielding_CS,ZR,fielding_post_G,fielding_post_GS,post_InnOuts,post_PO,post_A,post_E,post_DP,post_TP,post_PB,fielding_post_SB,fielding_post_CS,inducted,seasons_played,ALCS MVP,All-MLB Team - First Team,All-MLB Team - Second Team,All-Star Game MVP,Babe Ruth Award,Baseball Magazine All-Star,Bob Feller Act of Valor Award - HOF Player,Bob Feller Act of Valor Award - MLB Player,Bob Feller Act of Valor Award - Patriot Award,Branch Rickey Award,Comeback Player of the Year,Cy Young Award,Gold Glove,Hank Aaron Award,Hutch Award,Lou Gehrig Memorial Award,MLB Players Choice Comeback Player,MLB Players Choice Man of the Year,MLB Players Choice Outstanding Pitcher,MLB Players Choice Outstanding Player,MLB Players Choice Outstanding Rookie,MLB Players Choice Player of the Year,MLB Players Curt Flood Award,Majestic Athletic Always Game Award,Most Valuable Player,NLCS MVP,Outstanding DH Award,Pitcher of the Month,Pitching Triple Crown,Platinum Glove,Player of the Month,Player of the Week,Reliever of the Month,Reliever of the Year,Reliever of the Year Award,Roberto Clemente Award,Rookie of the Month,Rookie of the Year,SIlver Slugger,Silver Slugger,TSN All-Star,TSN Comeback Player of the Year,TSN Fireman of the Year,TSN Guide MVP,TSN Major League Player of the Year,TSN Pitcher of the Year,TSN Player of the Year,TSN Reliever of the Year,TSN Rookie Pitcher of the Year,TSN Rookie Player of the Year,TSN Rookie of the Year,This Year in Baseball Best Bounceback Player,This Year in Baseball Best Breakout Player,This Year in Baseball Best Defensive Player,This Year in Baseball Best Major Leaguer,This Year in Baseball Best Major Leaguer - Postseason,This Year in Baseball Best Moment,This Year in Baseball Best Performance,This Year in Baseball Best Pitcher,This Year in Baseball Best Play - Defense,This Year in Baseball Best Play - Offense,This Year in Baseball Best Player,This Year in Baseball Best Rookie,This Year in Baseball Best Social Media Personality,This Year in Baseball Breakout Hitter of the Year,This Year in Baseball Breakout Pitcher of the Year,This Year in Baseball Breakout Player of the Year,This Year in Baseball Closer of the Year,This Year in Baseball Defensive Player of the Year,This Year in Baseball Dependable Player of the Year,This Year in Baseball Hitter of the Year,This Year in Baseball Hitting Performance of the Year,This Year in Baseball Moment of the Year,This Year in Baseball Oddity of the Year,This Year in Baseball Performance of the Year,This Year in Baseball Pitching Performance of the Year,This Year in Baseball Play of the Year,This Year in Baseball Player of the Year,This Year in Baseball Postseason MVP,This Year in Baseball Postseason Moment of the Year,This Year in Baseball Rookie of the Year,This Year in Baseball Setup Man of the Year,This Year in Baseball Starter of the Year,This Year in Baseball X-Factor Player of the Year,Triple Crown,World Series MVP,retired_five,hof_eligibility
career_DivWin,1.0,0.28065364679007626,0.14773121749628207,0.16025781173857215,0.4153761608521269,0.3531905351029214,0.12182063456137722,,0.02500435318082395,0.021378434561434012,0.019129050796964267,0.06882184667840956,-0.1753740772541341,0.19801008040556833,0.05165116506481734,0.004540774776035455,0.15646727500564506,0.06082890952458625,0.234763790095172,0.2801591708945448,0.0717988358051723,-0.19902927349121866,0.3441067254477937,0.2429990684585135,,0.6026276032656201,0.42270231270924724,0.37560013936033443,0.3999811291583841,0.3783652448173678,0.1469352503680213,0.35704216637129943,0.38250784459605813,0.21086190835470603,0.21609245675218808,0.3837735050460304,0.4660259662822075,0.29098763967311253,0.3059341524843111,0.1998954030835588,0.32608390497839324,0.3617083719220978,0.039847028696618686,0.02156123033112001,0.14545872299713586,0.040701908690690916,-0.15710775442180427,-0.07190794540631158,0.11278009795178646,0.030534506731618536,0.02193302246983767,0.05053071374367819,0.1607110531312989,0.0396324119994797,0.14351977254652531,0.07935470105985602,0.09622715665021057,0.22914884055688275,0.07120937297359826,0.06405310117386691,0.19013547974149286,0.029623380907704798,0.10316775759372412,0.0189663940996231,0.3279160066634575,0.3329881194518545,0.3280543131047716,0.2670901147266135,0.2762574046507115,0.4021911705384104,0.2522903330271835,-0.022959525519758144,0.01467409279789545,0.17036766937129896,0.3056155200058997,0.30966859523718687,0.3204335852903889,0.3166073057643003,0.31926895185167564,0.3296122976861627,0.4210631842410903,0.34878612521420976,0.3169253633243706,0.2718919095784631,0.2396837195477472,0.15007003008502517,0.3257871909096832,0.2522643868596696,0.29807893977660604,0.21239532356210852,0.286836572939198,0.2942873332233678,0.09592918614836572,0.36280440807827324,0.2564618038104156,0.0007382524433702045,-0.01941228356537047,-0.19594250959189916,0.02677429463120385,-0.07341767398445558,-0.04870474726687315,0.03498764337709374,0.0054213334487819035,-0.04656822476003423,0.5930754390760613,0.46654389662185114,0.46968710195252633,0.317018308308517,0.2995314643055556,0.2707852833246426,0.2805772651841365,-0.013340512467784288,0.10228183516885919,,,-0.010075768627546097,0.27371130641554475,0.16530147809045745,,,0.12806625164548568,0.12529862558261506,-0.16562159383755834,0.06477911000778873,0.020967994872234257,0.018847953165679717,0.09533612472095421,0.06160656110646309,0.15178881060096266,0.1962816837865002,0.1103734216199194,0.08742623915898431,0.10373385161261911,0.0975645496613058,0.11614375305253327,0.14460527007956128,0.10139775869491063,0.07189936881280169,0.08505562908205028,0.021611366884428634,,0.046593108389701224,0.1315718261613051,0.07350493916994706,0.23344281046807033,-0.00932329053362895,0.018847953165679714,0.21698162287312683,0.3758834856733027,0.07075171077884865,,0.10184659586011861,0.13560277152244293,0.03880238869133116,0.0882002841027964,,0.24032713274135445,0.16743725268323184,0.11963467014114489,0.05230679723385697,-0.05936598398020588,0.04948591323140309,0.11000633645682488,0.035294071225493724,0.11565654638847679,0.06675973099848988,0.12017423334971093,-0.039448870686832324,0.02689506957404575,,,,,,,,,0.002753720348947728,0.018847953165679707,,,-0.013340512467784284,0.0027537203489477326,-0.013340512467784288,0.10906024758208045,0.060454394190789205,0.0027537203489477464,0.07905247360808768,,0.09394224806857046,-0.0018405645855347828,0.09551760574729563,0.003894930909913746,0.09152420877311786,,0.028007982017817245,0.05600029204362327,0.013560639474575817,0.03496865906205293,0.02318865464794648,0.03494218598241186,-0.04060258784288441,0.15549768288950605,,
career_WCWin,0.28065364679007626,1.0,-0.00469090427506048,0.060144118800077265,0.17502454386259028,0.15357123049325386,0.013813737017977947,,-0.04122893197540521,-0.017401653086995855,-0.035940421745462636,0.020784437010775123,-0.14251566929157314,0.09786532017055341,-0.0055658073767633175,-0.03528645604383868,0.00170950322161286,0.00780871109067939,0.1161353283627675,0.07156424673136952,0.05674834077763163,-0.15825161925818582,0.13041988366683846,0.08189390886726125,,0.3679933206069845,0.23551429215103598,0.2366485067918321,0.2270305133263323,0.24460359935047685,0.05048053176972099,0.23789307548404925,0.23111211858104613,0.08934906683679728,0.04246778894172893,0.23122740705670577,0.2860262129150783,0.15897195795950625,0.2149702640716787,0.10327931364446122,0.19278764421689717,0.23308535637859085,0.0057958117581711445,-0.0005185910018164304,0.12888659531005348,0.004800147933992121,-0.12995393846770878,-0.11022034188576954,0.09726749983942132,4.129048615869007e-05,-0.0005233931040151806,0.02695248171685582,0.10416418040488847,0.00900583736596377,0.09232954009706222,0.07187005246216722,0.112379286708264,0.07023304202913576,0.03869708875024666,0.09316330127158926,0.032794695779308464,0.001261153660522118,0.08865588453322233,0.006597650478979618,0.13394075212103948,0.17491368750720165,0.20492042111965877,0.16100842401793927,0.1590909713164888,0.31047703366893326,0.15974632806313535,-0.04982802478391077,-0.020473956103531758,0.10197605464878326,0.19318865215535796,0.19727859153187421,0.23010419707890994,0.22983047613555066,0.2207063313479055,0.22852749637930614,0.3084280665508054,0.2691347708557096,0.18493471007391143,0.1947743553707093,0.2667675154057694,0.05539633755587764,0.20815882423083099,0.15674574725938642,0.2096635043306913,0.14171898340780156,0.18082042672546597,0.2083951732176548,0.009212035217160209,0.13862403950639166,0.08194558367380203,-0.023177060300412927,-0.05211861758792473,-0.14538918217638858,-0.013982725195963578,-0.041505907881788554,-0.05038106384106754,0.018802193679733695,-0.014877256438872114,-0.04649576876191125,0.3629872788523766,0.2584943574281092,0.26193368367167513,0.1885357076487956,0.1438381430878357,0.11173503471515797,0.1363215335752142,-0.007255718273357485,0.11353144242899757,,,-0.05250715103563988,0.06640320496553305,0.10785253253773401,,,0.05474525053121092,0.04965587810391545,-0.09007927002592556,-0.02297552540155577,0.019061747052993648,-0.0072557182733574924,0.02074866976684751,0.18911396111128623,0.04698169100818522,0.03068463253353705,0.1481595793678479,0.028782158917986935,0.01675929684159725,0.11988965156328817,0.07746688248441717,0.08214242852219765,0.10325709892505286,0.13017833008448854,0.06243931253715076,-0.01451794829779287,,-0.014400608863140206,0.07199353003120362,0.06379936159236951,0.11962728496751011,0.0019993709497285795,0.013476675699874097,0.12015924549161316,0.19526200559818077,0.09993702284982015,,0.05906936931306951,0.061662034436969486,0.14207670145597648,0.04440020600860663,,0.17034269326062512,0.028640200389381636,0.07157342135387428,0.005251085851905548,-0.03228832893947817,0.0035546079656819606,0.035611353378690265,-0.03918374950552143,0.10467677138119226,0.06285570590046141,0.044794606467463034,0.0019042663953590126,0.013476675699874086,,,,,,,,,0.013476675699874098,0.09640625159280049,,,0.03420906967310566,0.013476675699874093,0.05494146364633726,0.11700123026460715,0.060366973306867765,-0.007255718273357483,0.1370781754006711,,0.08284313473114945,0.10627626547939319,0.10926835444217206,0.03372395524593995,0.09583107583249119,,0.08321643481398089,0.0984331197484764,0.06844884077891927,0.020875439835570747,0.04150597580006149,-0.007255718273357485,-0.026004755257932912,0.07061637128665431,,
career_LgWin,0.14773121749628207,-0.00469090427506048,1.0,0.7749100294468951,0.36387735384398084,0.21556962478633523,0.17135223682869258,,0.16256703522019472,0.19316281697080329,0.17189164993865322,0.14491006398962009,0.2058597113304197,0.0981761114253549,0.1783088605335429,0.13709538980775762,0.05499534839863883,0.164079267334368,0.05614077438371449,0.01810026663213432,0.0951968742597227,0.19430251112514443,-0.01725357486183507,0.013192346616932324,,0.4778462665335651,0.40500618944076927,0.3717455321413306,0.3847283074307258,0.3141855671780699,0.2989470101558351,0.2665215582573589,0.3560723274300489,0.21556998943497743,0.2917047316341715,0.33964654531451527,0.3186341079249906,0.2146955342662903,0.1663919176535717,0.30667866884816497,0.21176948081098057,0.2820126899395796,0.11817107691024538,0.048805854995142575,0.02642649462494108,0.08174107945290851,0.1259666614836592,0.15385642915748868,0.010186249969216608,0.08883275449311666,0.07705172298240187,0.05691986109945866,0.021906261597700004,0.07538650169708584,0.06972874255874116,0.038380200348010554,-0.005298826516970717,-0.02965148337932536,0.03911514864055429,0.026962897857992156,0.030116455058085457,0.08499503801831423,0.001092378059998036,0.061189188977641855,-0.032655517748855445,-0.04289620406873344,-0.040611166500997296,0.2800050755799558,0.2172366556967599,0.22678890692830114,0.2341346624966061,0.2609280795379968,0.2016300403997662,0.10516812913159126,0.28235457872118097,0.26712800047454993,0.22873372390637223,0.1812050111259656,0.25437466384091134,0.2471758447769871,0.21612248467425704,0.14011607808237792,0.1646622272011904,0.16105280037233421,0.15484547692310138,0.08112327282566248,0.2713510351472801,0.1350226596999608,0.23800687014914662,0.27079854559215,0.16695398003243744,0.22771755313691808,0.1829469029719164,-0.007458290899303361,0.034860601853180996,0.11421196110343304,0.0974149679017278,0.1564825887454589,0.0784296454537229,0.05924077344935091,0.035580002112526515,-0.02007837932535404,0.00126075456320086,0.0250618087951521,0.45437473515034515,0.41160856241567495,0.4130108467091825,0.28719073612761664,0.2879932130499584,0.34307253346331,0.234472666453895,-0.005184773168620442,0.08877725273220766,,,0.26832311284577226,0.28639850773923814,0.07959161258066795,,,0.064660726491113,0.1623129418223949,0.2527420849907785,0.04933198292544741,-0.014675722944469456,0.005197184355140179,0.01793876342431033,2.503397421485712e-05,0.09358050867407491,0.04935076472585332,0.014130895819540565,0.042885014371979564,0.09365497909066993,-0.004912382985960308,0.030378588712611964,0.03466366022647014,-0.010071634156234972,-0.006956461473732509,-0.0043070342059527405,0.010399032999817471,,0.18268895024674753,0.059089382852633335,0.019128857796613608,0.04478120824314648,0.08467854815871502,-0.005184773168620457,0.008087300098156315,0.010889046683331204,-0.011096234400166997,,0.02208156057280141,0.05675212111215798,-0.025769979956116462,0.03922603291700506,,0.009512525764901,0.22212223513889567,0.02354112285392385,0.0090574426213598,0.11264074522049469,0.08498570024611239,0.11339464532011842,0.07826927586399542,0.034694576794629554,-0.027012557623043908,0.021504179948216857,0.03430159860938664,-0.005184773168620472,,,,,,,,,-0.015566730692381087,0.015579141878900866,,,-0.015566730692381105,-0.0155667306923811,-0.015566730692381108,0.06007436436797874,-0.003270004719282135,-0.015566730692381101,0.019717818310953254,,0.04853789874070124,-0.009802404644346544,0.02122315036895182,0.02203552778235087,0.00868063469367525,,0.02699193581718211,0.009835271047177557,-0.010374199488176144,0.006982481082585988,-0.004226375781273751,0.0051971843551402,0.07909202306150988,0.16437575553900202,,
career_WSWin,0.16025781173857215,0.060144118800077265,0.7749100294468951,1.0,0.2948835749540152,0.17606683258411465,0.11295317017291916,,0.09229898998494848,0.10656919939445515,0.09758839553172217,0.09050544445347959,0.09391034152158605,0.10041153588684111,0.11075007781503535,0.04304548561883579,0.09379000941942937,0.11702034986949583,0.05827264415412497,0.03720192650334642,0.039782571982748406,0.124396098218422,0.02516402653391934,0.042153272866288075,,0.41769938126790285,0.34812402278895527,0.33114427932796914,0.33594282515691204,0.28104240968933,0.23516100573927964,0.2574692679308356,0.3257115041967223,0.16695910050382404,0.24543639808767223,0.3082134902128322,0.2801709149506791,0.20733074359490636,0.16653946659342067,0.2693036705879864,0.19897942749325578,0.25840399277354004,0.09376008613339061,0.042126277168778634,0.03629893511944088,0.06790269875178875,0.06979724568355308,0.11803155043572605,0.02305631403946137,0.07046083818582809,0.0589122474072198,0.05178454459894967,0.03908510193522281,0.0764799987987612,0.0720397272110164,0.03586328205073333,0.004140392434739576,0.003956101577217131,0.030549762551628522,0.028519523415158312,0.04174317651134729,0.06787769318666168,0.015165323592278684,0.04528965007110242,-0.006272576070683546,-0.007785720725925114,-0.008745779434562836,0.26896074933543757,0.16463119718758387,0.20588104706776267,0.20572483843815736,0.20510196161359845,0.1724654932898667,0.1066673684131592,0.24849070206708299,0.22980735554224427,0.19606360457184335,0.15851979036252,0.23089103847653675,0.22379125031807465,0.20056272217283166,0.12511335842996502,0.14753919219283096,0.14667802836503052,0.13875662938379282,0.07226288040514069,0.2501686323065749,0.12462797756047127,0.19256967587667018,0.23648548921933735,0.14112940959764367,0.22579533014582626,0.11256191701895527,0.029194070448092163,-0.009581393895260526,0.06567619391578047,0.04440182013676648,-7.507568414251977e-05,0.057939510582791225,-0.022859034830350053,0.030936443505134248,-0.03653648911735713,-0.02646488440184287,0.017149596205721703,0.41622083565442214,0.3736557435285441,0.37633989488392156,0.2677520317794161,0.2536874756907581,0.26598979507835435,0.21664701518088425,0.004826282629166343,0.09776379214831227,,,0.18256017987529838,0.18900779646926344,0.08255550127722942,,,0.05308049420195434,0.20679035543690855,0.2284028146168183,0.050513869764251,-0.00441432532958828,0.00482628262916632,0.01743782695933599,0.008783082864022402,0.08416808925708415,0.04461156485446845,0.02725088233864528,0.03974616877593502,0.062223916544389385,-0.00017356609936721874,-0.007557995795508914,0.03338499465590636,-0.009746523010962977,0.01808111387799337,-0.005590530931630684,0.0017061151116738087,,0.1753767223059757,0.029741923555925434,0.03408966811395238,0.04480921205762113,0.06863069857275912,-0.011068148155470038,0.008038101004414112,0.027589475261472405,-0.004251677809955501,,0.027187892320387458,0.05392725641674885,-0.0075854248924752095,0.043293823215233486,,0.019166331146193146,0.21537254272628403,0.021169562995716575,0.011994285189143689,0.1319944859097886,0.09052131896905104,0.10275579984660926,0.07341770554736118,0.03892403770836823,-0.010036156612004571,0.017391840866158234,0.02946455321886434,-0.011068148155470038,,,,,,,,,-0.01106814815547004,0.036615144198439115,,,-0.011068148155470041,-0.011068148155470038,-0.011068148155470046,0.06153165254863932,0.012219503852460328,-0.011068148155470036,0.04435829256534031,,0.05520991110752798,-0.005258164831729978,0.04429942184222558,0.05178937540405856,0.019800683604059437,,0.04507946097890714,0.000754760502162196,-0.006244666453313098,0.017910813787225924,0.01832450455771021,0.004826282629166342,0.045780676333052536,0.18897542584698654,,
career_team_wins,0.4153761608521269,0.17502454386259028,0.36387735384398084,0.2948835749540152,1.0,0.9667369991786123,0.4570308375803659,,0.32331293319924576,0.3133033985153223,0.32590494925831,0.3344036440670131,0.1781655355887199,0.3388343799252704,0.34421459710194796,0.1817287152971363,0.25779571314833727,0.33686834068553717,0.336859452751505,0.3175953250363895,0.21551978455363172,0.19784178087177093,0.32942985505443817,0.3219545432888204,,0.42949124988076137,0.3459195857027918,0.3157945002567638,0.34240967677293144,0.30737804932908225,0.17396917974009965,0.28279083228128216,0.31980400000386905,0.19591421278514598,0.23212934159964432,0.30890701692284395,0.31543900627047156,0.23540849919726653,0.1988612462547825,0.23474875949947813,0.24189929703347393,0.26796748323981695,0.2100210132422958,0.17648255032463273,0.2050845693166547,0.18809948830949588,0.07116538341833431,0.1688072647709653,0.12015263152516029,0.19437345015161409,0.18256643903851164,0.18859198588245937,0.22690456114200236,0.19182322995256307,0.2422261403334621,0.16650092258494523,0.1530359044308125,0.2094831412413083,0.13612762476535215,0.15251922050055258,0.18861305880161422,0.19160698493398298,0.12575214297008844,0.1604929827897519,0.22252134460007864,0.2110753246829972,0.20596044657438944,0.2364382245665378,0.22345992162062242,0.2513487557137401,0.2224104045738368,0.12168013029524906,0.10190786320386083,0.08829402980004794,0.2590199826097093,0.2573957803242781,0.25337778641979963,0.218271346764088,0.24202570195716255,0.25261286559963486,0.2669329550765222,0.2151937805818531,0.19406132488323236,0.18277383980349843,0.19812533258448722,0.0745518703890306,0.27358930413117005,0.14120238006179753,0.24295748717051624,0.23614384184084783,0.20965563039519095,0.23679474619495117,0.43763080140530697,0.36164975890049755,0.28876250889237937,0.22155353585052687,0.14515505762124628,0.020121342684239436,0.17985397685024482,-0.02712364674676782,0.005533160492571441,0.041211185903306476,0.037830171791448416,1.292009123523886e-05,0.42732875806344334,0.377408162518484,0.37624945910542845,0.2649191373361256,0.2316884562645479,0.27986173731408787,0.21514593609370933,-0.009509886672803107,0.06654172036660698,,,0.34053962421060013,0.884391803210552,0.11583017079776867,,,0.1718776391891631,0.12181162137111902,0.18587402129112626,0.108157030810869,-0.0018179708392610057,0.006530959540371125,0.09029456928324434,0.043550336767888755,0.14323320645942758,0.2420943019314528,0.09462712566907575,0.12035933836073655,0.19063565098999632,0.05559620174104172,0.07840673732725859,0.09537477132489956,0.09287888703839474,0.03615778342807478,0.05884770773570231,0.04390920362764155,,0.21298035352980416,0.07897546444900491,0.09209528360239917,0.16795253916002068,0.06746671104188214,0.03528782202435257,0.21386776501736296,0.31923174463843323,0.04168326086555981,,0.05259686850342005,0.17880598702300832,0.0019840520263206124,0.10218965914832041,,0.2261746867685261,0.3717799110921964,0.13261721415981212,0.07229795089610845,0.05181632178873754,0.14521918636381995,0.15287251232793433,0.16025449004787498,0.03987070561445585,0.05046570874255817,0.09861106914974828,0.03479383292405213,-0.007526654777356096,,,,,,,,,0.027238233742832463,0.03231297418118205,,,-0.006593369179498682,0.0022728440001467194,-0.006826690578962978,0.047456227365835095,0.042731085923381124,0.026538269544439337,0.06279117414491406,,0.04594359532293521,0.00979216894031458,0.0573325864722682,-0.01675117768457666,0.04104923368171374,,0.005487466016350816,0.03260903282588763,0.0023593581257712846,0.012054438785733276,0.001996811166194041,-0.0031518785373993666,0.08787547680942354,0.13272754436428455,,
career_team_games,0.3531905351029214,0.15357123049325386,0.21556962478633523,0.17606683258411465,0.9667369991786123,1.0,0.4554962028259716,,0.3176493684011816,0.29491266780965275,0.3167726912876181,0.3262395238559142,0.16046189281608547,0.3301837343480962,0.33067417378080993,0.1678276711841349,0.2598803046598621,0.32476383867675596,0.34000810124367215,0.31766863078643465,0.20999325577061115,0.1909712280474299,0.3354698577760174,0.32713730563326054,,0.3313607275148015,0.2637614046036967,0.23976633987322105,0.2645525048213631,0.24121591046440077,0.1206211678219855,0.2258847881051745,0.24747560058421866,0.15277373796536425,0.1815435431238413,0.23836959360791335,0.24614531784830335,0.1913156488168772,0.1576320006170105,0.18249347947863218,0.19614247719609967,0.20824342413433414,0.19157500600533012,0.18293682101714465,0.2043731117758948,0.1811955284762012,0.05928276235576845,0.14965668062310586,0.11658892054529313,0.18691123959341285,0.17884597930242582,0.18900027085845297,0.2271245883736771,0.1884171466319203,0.2324797184851113,0.1690520238031929,0.16574468245388324,0.21721190464698803,0.13288728311279271,0.1523844901475616,0.18943606639351948,0.18523220289601397,0.1273025588343172,0.1595998361290641,0.22603624521653495,0.21340071579908504,0.20661776405297258,0.18580502018607536,0.17718270659368382,0.2033660825775555,0.1760075620120421,0.07664712245117211,0.07253509467213462,0.0656094615548259,0.20428447891199986,0.20430644932557532,0.20579691711722642,0.17674377154019869,0.19206513508866113,0.20234059763811424,0.2200770150673765,0.18278702974179695,0.1585901628688272,0.14754726283732109,0.16410143143487912,0.05747134712828723,0.22170111885180382,0.11220020765616176,0.19342062839169763,0.1899170298630438,0.17686497085148656,0.19453044993480248,0.4322217658124057,0.36506766836033827,0.28699380489275245,0.21857967257921052,0.139245388877878,0.011218320791153114,0.17638831439416008,-0.027776650057255627,-0.0029829017980478466,0.05149276897820382,0.04694791376589465,-0.004588346989407115,0.33428376031359996,0.2944691327338582,0.29271902765426194,0.207003328717506,0.17252297943181882,0.2119452122415717,0.1678424843319629,-0.009210609867046207,0.049881955019270736,,,0.298327197794036,0.8924019080920591,0.1014981332280806,,,0.16074356729625022,0.09496741247760047,0.14496640377797124,0.10140815327130652,-0.003248912263834727,-0.001981293812888697,0.09499101806765353,0.040571102712046246,0.1293855843776141,0.23054317548160802,0.08663749482537285,0.11578797803514108,0.18620292414505493,0.05246106454453452,0.07496200175337484,0.0880000510281071,0.08724861797711447,0.03241411643732787,0.05256781580385267,0.04306306638293343,,0.1841005590742001,0.07362358929731123,0.09213430507095287,0.1584102811902441,0.05393446074560543,0.03612256853369769,0.2123020188043871,0.3173816684905023,0.03928069637334084,,0.04605516098690752,0.17555027530923098,0.0021372305425076373,0.08912898034551066,,0.22424868070136886,0.33054531243765034,0.13031279052362957,0.07376923037703842,0.03200691254749092,0.12366854641611268,0.1343087118472373,0.14736025748708143,0.02503873444027799,0.04580718102185124,0.09153354110239151,0.031052415111393932,-0.009936698379035967,,,,,,,,,0.03602786133648168,0.030913672686815673,,,-0.0047909406636312026,0.005437436635701004,-0.004822509729369809,0.03194492363928138,0.03984359075655908,0.030945241752554295,0.05559142748142837,,0.031666202553345256,0.013276410929279678,0.04678544144799319,-0.017693858807392847,0.033094035793424875,,0.0004688900896142985,0.025649049212294675,0.003173444619717614,0.01343714489700986,-0.0013744218551532093,-0.004822509729370005,0.08172460689030843,0.1063673747198499,,
G,0.12182063456137722,0.013813737017977947,0.17135223682869258,0.11295317017291916,0.4570308375803659,0.4554962028259716,1.0,,0.9664707339683071,0.933690579694582,0.9600136070399248,0.9380725723935102,0.7105706891262723,0.7324802420260556,0.9179116604127001,0.5974249871419189,0.6683778167035358,0.8858293457133706,0.7758231481657533,0.6112929070731058,0.6482661417175348,0.3697989755624488,0.695129635339266,0.7290521260915044,,0.49250057363813204,0.5821580144946009,0.5423748634129169,0.583206654546758,0.5290083458981988,0.3528683477746639,0.4471319239587818,0.5319544010366052,0.35247646274442634,0.4028621074716569,0.5108261989076068,0.4772969428630327,0.3783521582612753,0.3404163564218501,0.20846618632418573,0.3695095006964297,0.4298162097592622,-0.5061194556535302,-0.5530999007007504,-0.549940499132292,-0.4941283924058077,-0.3120053804613146,-0.3636752634016504,-0.17150656875236028,-0.5342404803477947,-0.53879670383671,-0.5634915664472778,-0.5317574617920814,-0.5598395970328505,-0.5172472640740844,-0.524845048524453,-0.6192889965280902,-0.41935090071690867,-0.4698363476970559,-0.4825256211526283,-0.3872556370720466,-0.5387932241447464,-0.29822139877736437,-0.544236554191871,-0.38835821715965546,-0.4104602340082081,-0.384405264722166,-0.23661538130703522,-0.2729487739778519,-0.27494784711229014,-0.24705576492638337,-0.16044510817649685,-0.1329436621425079,-0.05249308028744287,-0.28087202389088356,-0.28504998120946906,-0.2888585929710849,-0.26246267603149803,-0.2908150343305671,-0.26109302232660203,-0.323514316646245,-0.2750405115470656,-0.21905561633786028,-0.1926633611289192,-0.20075115535293375,-0.09976024863175803,-0.28425014524729336,-0.12438455666370006,-0.28582104005756576,-0.24330892715718266,-0.19739447043648747,-0.22770749332177107,0.9751317139340171,0.7040465869390333,0.7536640986838933,0.662573228912009,0.4961330908275822,0.4978477831689139,0.5814299426310843,0.05616166538264433,0.03250368290890085,0.08520513212383371,0.07817432830537153,0.030655662921439456,0.45692649328049856,0.5301691252052921,0.5387627218590655,0.42599495473634486,0.3435373591393687,0.4141285365391991,0.37862655622324104,0.01391845264940462,0.07490174094456471,,,0.33636761109474683,0.549257614557457,0.07591538300912008,,,0.20263655819182244,0.06833575532025489,0.18302168312962713,0.08437361894199413,0.005298460451674611,0.014060525769551862,0.07425873413505363,0.01762086863408556,-0.08431209883939705,0.3330065630219742,0.12539963323178113,0.10761557067578824,0.18644910989449626,0.05192447828717547,0.08323955622639698,-0.058784398608188515,0.13523859204551625,0.06359516517954454,0.09135874840782901,0.05710116507254319,,0.2866891790177773,0.04720755174011105,0.12707339486789906,-0.1493770061542617,-0.05289219579814861,0.05489234049987137,0.34281071563757565,0.37034600488144764,-0.026735501723034016,,-0.03347201557434156,0.18707328267184747,0.0157299802174647,0.15095963966586437,,0.35397986959334643,0.42832285424511557,0.08295553905041285,-0.038586735634557376,0.07981818431078752,0.1764845067168027,-0.10750865688350057,0.2700938501922475,-0.02473437323755907,-0.10930813232165265,0.18824759539470556,0.08743605265378473,0.017328207532938622,,,,,,,,,0.02264174222644581,0.039974662884410185,,,0.012355648327784848,-0.017025072918666208,0.010679185510047358,-0.005871311875379192,0.07001464813106383,0.0469362457716254,0.08073912633761532,,0.05593964519104183,0.03882496904048726,0.024552881629594937,-0.027577249650466085,0.05167706567121145,,0.01426861894581106,0.04188853761198852,0.005278061193931324,-0.020240127435993308,-0.044845129969596866,0.003859675742979396,0.1259007092217917,0.07253459629861345,,
G_batting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
